mekan_id,mekan_adi,kategori,oncelik,projedeki_kullanim,latitude,longitude,tetikleme_yaricapi_m,fiziksel_erisim,kamera_uygunlugu,risk_notu,aktif_mi
harput_kalesi,Harput Kalesi / Süt Kalesi,Kale,1,Ana başlangıç noktası,"38,703,448","39,257,222",50,Orta,Uygun,Kale çevresinde GPS sapması ve güvenlik riski olabilir. Tetikleme noktası güvenli giriş veya seyir alanında sahada doğrulanmalı.,Evet
harput_ulu_cami,Harput Ulu Cami / Eğri Minare,Cami,2,Tarihî bilgi ve görev noktası,"38,706,111","39,255,139",30,Kolay,Uygun,İbadet alanı olduğu için içerik dili saygılı olmalı. Giriş ve durma noktası sahada doğrulanmalı.,Evet
alacali_cami,Alacalı Cami,Cami,3,Mimari detay görevi,"38,702,220","39,250,560",30,Kolay,Uygun,Koordinat prototip için uygundur. Cami giriş noktası sahada kesinleştirilmeli.,Evet
arap_baba_turbesi,Arap Baba Türbesi ve Mescidi,Türbe / Mescit,4,NPC ve gizem temalı görev,"38,702,083","39,249,378",30,Orta,Uygun,Türbe ve mescit alanı olduğu için içerik dili hassas olmalı. Tetikleme noktası güvenli durma alanında doğrulanmalı.,Evet
meryem_ana_kilisesi,Meryem Ana Kilisesi,Kilise,5,Çok kültürlü miras noktası,"38,704,200","39,257,800",40,Orta,Orta,Koordinat yaklaşık. Kilise çevresinde güvenli yaklaşma ve kamera görüş alanı sahada doğrulanmalı.,Evet
sarahatun_cami,Sarahatun Cami,Cami,6,Osmanlı ve Akkoyunlu dönemi anlatımı,"38,704,744","39,252,986",30,Kolay,Uygun,Koordinat prototip için uygundur. Cami çevresinde kullanıcı durma noktası sahada belirlenmeli.,Hayır
kursunlu_cami,Kurşunlu Cami,Cami,7,Rota ara noktası,"38,704,900","39,252,500",30,Kolay,Uygun,Koordinat yaklaşık. Cami giriş noktası sahada doğrulanmalı.,Hayır
hoca_hasan_hamami,Hoca Hasan Hamamı,Hamam,8,Günlük yaşam ve kültür anlatımı,"38,705,100","39,252,300",30,Orta,Orta,Koordinat yaklaşık. Hamam yapısı ve erişim noktası sahada doğrulanmalı.,Hayır
cam_seyir_terasi,Cam Seyir Terası,Seyir Noktası,9,Final veya ödül ekranı için uygun,"38,706,700","39,250,900",40,Kolay,Uygun,Koordinat yaklaşık. Yükseklik ve kenar güvenliği nedeniyle güvenli durma alanı sahada belirlenmeli.,Hayır
balakgazi_heykeli,Balakgazi Heykeli,Anıt / Heykel,10,Karakter tanıtımı veya kahraman anlatımı,"38,706,900","39,250,600",40,Kolay,Uygun,Koordinat yaklaşık. Seyir alanı ve heykel çevresinde GPS tetikleme noktası sahada doğrulanmalı.,Hayır
aga_cami,Ağa Cami,Cami,11,Kısa bilgi noktası,"38,704,300","39,252,100",30,Kolay,Uygun,Koordinat yaklaşık. Harput merkez içinde sahada doğrulanmalı.,Hayır
ahmet_bey_cami,Ahmet Bey Cami,Cami,12,Alternatif rota noktası,"38,704,100","39,251,700",30,Kolay,Uygun,Koordinat yaklaşık. Cami konumu ve güvenli durma noktası sahada doğrulanmalı.,Hayır
esadiye_cami,Esadiye Cami,Cami,13,Alternatif rota noktası,"38,704,450","39,251,950",30,Kolay,Uygun,Koordinat yaklaşık. Harput merkez çevresinde sahada doğrulanmalı.,Hayır
cimsit_bey_hamami,Cimşit Bey Hamamı,Hamam,15,Osmanlı dönemi sosyal yaşam,"38,704,720","39,252,920",30,Kolay,Uygun,Sarahatun Cami bitişiği kabul edilerek konumlandırıldı. Hamam giriş noktası sahada netleştirilmeli.,Hayır
kale_hamami,Kale Hamamı,Hamam,16,Kale çevresi destek noktası,"38,704,050","39,257,150",35,Orta,Orta,Kale kuzeyi kabul edilerek konumlandırıldı. Yıkıntı veya arkeolojik alan nedeniyle güvenli durma noktası sahada seçilmeli.,Hayır
kale_zindani,Kale Zindanı,Zindan,17,Oyunlaştırma için güçlü görev noktası,"38,703,450","39,257,220",40,Zor,Orta,"Kale içi kabul edildi. Kapalı veya yer altı alan, ışık ve güvenlik riski yüksek. Sadece güvenli ziyaret alanı varsa aktif edilmeli.",Hayır
dabakhane_mescidi,Dabakhane Mescidi,Mescit,18,Alternatif tarihî nokta,"38,703,650","39,260,150",35,Orta,Orta,Fetih Ahmet Baba Türbesi yolu üzerinde yaklaşık konumlandırıldı. Yol ve erişim sahada doğrulanmalı.,Hayır
imam_efendi_turbesi,İmam Efendi Türbesi,Türbe,19,Alternatif rota,"38,706,550","39,254,400",30,Orta,Uygun,Meteris Mezarlığı çevresi kabul edildi. Mezarlık ve türbe alanı olduğu için saygılı içerik ve sessiz kullanım gerekir.,Hayır
mansur_baba_turbesi,Mansur Baba Türbesi,Türbe,20,Alternatif rota,"38,706,338","39,253,632",30,Kolay,Uygun,Koordinat harita kaynağına dayalıdır. Türbe girişinde GPS tetikleme noktası sahada doğrulanmalı.,Hayır
musa_kazim_efendi_turbesi,Musa Kazım Efendi Türbesi,Türbe,21,Alternatif rota,"38,706,950","39,254,450",30,Orta,Uygun,İmam Efendi Türbesi'nin yaklaşık 40-50 metre kuzeyi bilgisine göre ayarlandı. Sahada doğrulanmalı.,Hayır
fatih_ahmet_baba_turbesi,Fatih Ahmet Baba Türbesi,Türbe,22,Alternatif rota,"38,703,900","39,260,650",35,Orta,Orta,Dabakhane Mescidi yolu çevresinde yaklaşık konumlandırıldı. Türbe giriş noktası sahada kesinleştirilmeli.,Hayır
anguzu_baba_turbesi,Anguzu Baba Türbesi,Türbe,23,Alternatif rota,"38,705,900","39,254,900",30,Orta,Uygun,Koordinat yaklaşık. Türbe konumu sahada veya güvenilir harita üzerinden doğrulanmalı.,Hayır
buzluk_magarasi,Buzluk Mağarası,Doğal / Tarihî Alan,24,Araçlı rota veya ek paket,"38,735,824","39,282,842",60,Zor,Orta,"Araçlı veya ek rota noktasıdır. Mağara alanında ışık, zemin, sıcaklık ve güvenlik riski yüksek.",Hayır
olbe_vadisi,Ölbe Vadisi,Doğal Alan,25,Araçlı rota veya genişletilmiş deneyim,"38,717,000","39,246,000",70,Zor,Orta,"Doğal alan ve ek rota kabul edildi. Yürüyüş güvenliği, patika durumu ve internet çekimi sahada kontrol edilmeli.",Hayır
surp_hagop_kilisesi,Surp Hagop Kilisesi,Kilise,26,Genişletilmiş kültürel rota,"38,704,900","39,258,900",40,Zor,Orta,Yapı kalıntısı veya hasarlı kültür varlığı olabilir. Çökme ve yaklaşma riski nedeniyle sadece güvenli mesafeden AR içerik önerilir.,Hayır
surp_garabet_kilisesi,Surp Garabet Kilisesi / Kızıl Kilise,Kilise,27,Genişletilmiş kültürel rota,"38,705,400","39,257,400",40,Zor,Orta,Kızıl Kilise veya Surp Garabet konumu yaklaşık. Kalıntı ve yapı güvenliği sahada kontrol edilmeden aktif edilmemeli.,Hayır
