bilgi_id,mekan_id,baslik,kisa_metin,detay_metin,kaynak,gorsel_dosyasi,kullaniciya_gosterilsin_mi
bilgi_001,harput_kalesi,Harput Kalesi,Harput'un en bilinen tarihî simgelerinden biridir.,"Harput Kalesi, Harput yerleşiminin savunma ve tarihî hafıza noktalarından biridir. Projede başlangıç durağı olarak kullanılır.",Elazığ İl Kültür ve Turizm Müdürlüğü; Kültür Portalı; saha levhası doğrulanacak,harput_kalesi.jpg,Evet
bilgi_002,harput_ulu_cami,Harput Ulu Cami,Harput'un önemli tarihî camilerinden biridir.,"Ulu Cami, Harput'un mimari ve tarihî kimliğini gösteren ana duraklardan biridir. Eğri minare anlatısı ile görevleştirilebilir.",Elazığ İl Kültür ve Turizm Müdürlüğü; Kültür Portalı; saha levhası doğrulanacak,harput_ulu_cami.jpg,Evet
bilgi_003,alacali_cami,Alacalı Cami,Harput'un mimari izlerini taşıyan tarihî camilerinden biridir.,"Alacalı Cami, kullanıcıya mimari ayrıntı inceletmek için uygun bir ara görev noktasıdır.",Elazığ İl Kültür ve Turizm Müdürlüğü; yerel envanter; saha levhası doğrulanacak,alacali_cami.jpg,Evet
bilgi_004,arap_baba_turbesi,Arap Baba Türbesi ve Mescidi,Harput anlatıları içinde dikkat çeken türbe ve mescit noktasıdır.,"Arap Baba Türbesi ve Mescidi, projede hikâyeleştirme ve soru-cevap görevleri için kullanılacak manevi ve tarihî duraktır.",Kültür Portalı; Elazığ İl Kültür ve Turizm Müdürlüğü; saha levhası doğrulanacak,arap_baba_turbesi.jpg,Evet
bilgi_005,meryem_ana_kilisesi,Meryem Ana Kilisesi,Harput'un çok katmanlı kültürel mirasını temsil eden önemli noktalardan biridir.,"Meryem Ana Kilisesi, Harput'un farklı inanç ve kültür katmanlarını anlatmak için kullanılacak final duraklarından biridir.",Kültür Portalı; Elazığ İl Kültür ve Turizm Müdürlüğü; saha levhası doğrulanacak,meryem_ana_kilisesi.jpg,Evet
bilgi_006,sarahatun_cami,Sarahatun Cami,Harput'un tarihî camilerinden biridir.,"Sarahatun Cami, genişletilmiş rota içinde tarihî ve mimari bilgi noktası olarak kullanılabilir.",Elazığ İl Kültür ve Turizm Müdürlüğü; Kültür Portalı; saha levhası doğrulanacak,sarahatun_cami.jpg,Hayır
bilgi_007,kursunlu_cami,Kurşunlu Cami,Harput'taki tarihî camilerden biridir.,"Kurşunlu Cami, geniş rota içinde kısa mimari bilgi durağı olarak kullanılacaktır.",Elazığ İl Kültür ve Turizm Müdürlüğü; yerel envanter; saha levhası doğrulanacak,kursunlu_cami.jpg,Hayır
bilgi_008,hoca_hasan_hamami,Hoca Hasan Hamamı,Harput'un sosyal yaşam izlerini taşıyan hamam yapılarından biridir.,"Hoca Hasan Hamamı, Harput'ta günlük yaşam, temizlik kültürü ve sosyal mekân anlatısı için kullanılabilir.",Kültür Portalı; Elazığ İl Kültür ve Turizm Müdürlüğü; saha levhası doğrulanacak,hoca_hasan_hamami.jpg,Hayır
bilgi_009,cam_seyir_terasi,Cam Seyir Terası,Harput manzarasını deneyimleten seyir noktasıdır.,"Cam Seyir Terası, kullanıcının rota boyunca gezdiği noktaları geniş açıyla değerlendirebileceği görsel durak olarak kullanılabilir.",Elazığ Belediyesi; turizm tanıtım kaynakları; saha gözlemi,cam_seyir_terasi.jpg,Hayır
bilgi_010,balakgazi_heykeli,Balakgazi Heykeli,Harput tarih anlatısında kahramanlık ve temsil noktası olarak kullanılabilir.,"Balakgazi Heykeli, kahramanlık ve tarihî temsil anlatımını destekleyen genişletilmiş rota durağıdır.",Elazığ Belediyesi; yerel tanıtım kaynakları; saha gözlemi,balakgazi_heykeli.jpg,Hayır
bilgi_011,aga_cami,Ağa Cami,Harput merkez çevresindeki kısa bilgi duraklarından biridir.,"Ağa Cami, merkez dokusunu destekleyen alternatif cami durağı olarak kullanılabilir.",Yerel envanter; saha levhası doğrulanacak,aga_cami.jpg,Hayır
bilgi_012,ahmet_bey_cami,Ahmet Bey Cami,Harput'taki alternatif cami duraklarından biridir.,"Ahmet Bey Cami, geniş rota içinde kısa bilgi ve konum doğrulama noktası olarak kullanılabilir.",Yerel envanter; saha levhası doğrulanacak,ahmet_bey_cami.jpg,Hayır
bilgi_013,esadiye_cami,Esadiye Cami,Harput merkez çevresindeki alternatif tarihî camilerden biridir.,"Esadiye Cami, merkez çevresinde rota sürekliliği sağlayan kısa bilgi durağı olarak kullanılacaktır.",Yerel envanter; saha levhası doğrulanacak,esadiye_cami.jpg,Hayır
