gorev_id,gorev_adi,rota_id,mekan_id,hedef_mekan_id,karakter_id,gorev_tipi,gorev_aciklamasi,tamamlanma_kosulu,odul_puan,rozet_id,sonraki_gorev_id,aktif_mi
gorev_001,Kaleye İlk Adım,harput_ana_rota,harput_kalesi,harput_ulu_cami,harput_muhafizi,Git,Harput Kalesi'nden başlayarak Ulu Cami yönüne ilerle.,Hedef mekana 30 metre yaklaşınca tamamlanır,100,rozet_kasif,gorev_002,Evet
gorev_002,Eğri Minarenin İzinde,harput_ana_rota,harput_ulu_cami,alacali_cami,ulu_cami_alimi,İncele,Ulu Cami'nin mimari yapısını incele ve Alacalı Cami yönüne ilerle.,Bilgi kartı okunduktan ve hedef mekana yaklaşıldıktan sonra tamamlanır,100,,gorev_003,Evet
gorev_003,Taşın Hafızası,harput_ana_rota,alacali_cami,arap_baba_turbesi,tas_ustasi,İncele,Alacalı Cami çevresindeki mimari detayları incele.,Kullanıcı inceleme butonuna bastığında tamamlanır,100,rozet_tarih_yolcusu,gorev_004,Evet
gorev_004,Gizemli Anlatı,harput_ana_rota,arap_baba_turbesi,meryem_ana_kilisesi,arap_baba_anlaticisi,Soru cevapla,Arap Baba anlatısını oku ve soruyu doğru cevapla.,Doğru cevap verildiğinde tamamlanır,150,rozet_bilge_ziyaretci,gorev_005,Evet
gorev_005,Çok Katmanlı Miras,harput_ana_rota,meryem_ana_kilisesi,,meryem_ana_rehberi,Bilgi oku,Meryem Ana Kilisesi bilgi kartını oku ve ana rotayı tamamla.,Bilgi kartı okunduğunda rota tamamlanır,200,rozet_miras_koruyucusu,,Evet
gorev_006,Sarahatun'un İzleri,harput_tam_rota,sarahatun_cami,kursunlu_cami,sarahatun_anlaticisi,Bilgi oku,Sarahatun Cami'nin tarihî rolünü öğren ve Kurşunlu Cami yönüne ilerle.,Bilgi kartı okunduğunda tamamlanır,100,,gorev_007,Hayır
gorev_007,Kurşunlu Durağı,harput_tam_rota,kursunlu_cami,hoca_hasan_hamami,kursunlu_rehberi,Bilgi oku,Kurşunlu Cami bilgi kartını oku ve Hoca Hasan Hamamı yönüne ilerle.,Bilgi kartı okunduğunda tamamlanır,100,,gorev_008,Hayır
gorev_008,Hamam Kültürü,harput_tam_rota,hoca_hasan_hamami,cam_seyir_terasi,hamam_ustasi,İncele,Hamam kültürünün Harput sosyal yaşamındaki yerini incele.,Kullanıcı inceleme butonuna bastığında tamamlanır,100,,gorev_009,Hayır
gorev_009,Seyirden Hafızaya,harput_tam_rota,cam_seyir_terasi,balakgazi_heykeli,seyir_rehberi,Git,Cam Seyir Terası'ndan Balakgazi Heykeli yönüne ilerle.,Hedef mekana 40 metre yaklaşınca tamamlanır,100,,gorev_010,Hayır
gorev_010,Kahramanın Hatırası,harput_tam_rota,balakgazi_heykeli,aga_cami,balakgazi_komutani,Bilgi oku,Balakgazi anlatısını oku ve merkez rota yönüne ilerle.,Bilgi kartı okunduğunda tamamlanır,150,rozet_rota_ustasi,gorev_011,Hayır
gorev_011,Merkezde Kısa Durak,harput_tam_rota,aga_cami,ahmet_bey_cami,merkez_rehberi,Bilgi oku,Ağa Cami çevresinde kısa bilgi kartını oku.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_012,Hayır
gorev_012,Alternatif Cami İzleri,harput_tam_rota,ahmet_bey_cami,esadiye_cami,merkez_rehberi,Bilgi oku,Ahmet Bey Cami noktasını rota ara durağı olarak incele.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_013,Hayır
gorev_013,Merkez Dokusunu Takip Et,harput_tam_rota,esadiye_cami,meydan_cami,merkez_rehberi,Git,Esadiye Cami sonrası Meydan Cami yönüne ilerle.,Hedef mekana 30 metre yaklaşınca tamamlanır,75,,gorev_014,Hayır
gorev_014,Meydan Hafızası,harput_tam_rota,meydan_cami,cimsit_bey_hamami,merkez_rehberi,Bilgi oku,Meydan çevresindeki merkez dokusunu gözlemle.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_015,Hayır
gorev_015,Cimşit Bey Hamamı,harput_tam_rota,cimsit_bey_hamami,kale_hamami,hamam_ustasi,İncele,Cimşit Bey Hamamı'nın sosyal yaşam izlerini incele.,Kullanıcı inceleme butonuna bastığında tamamlanır,100,,gorev_016,Hayır
gorev_016,Kale Hamamı İzleri,harput_tam_rota,kale_hamami,kale_zindani,zindan_golgesi,Bilgi oku,Kale Hamamı çevresinde güvenli mesafeden bilgi kartını oku.,Bilgi kartı okunduğunda tamamlanır,100,,gorev_017,Hayır
gorev_017,Zindanın Gölgesi,harput_tam_rota,kale_zindani,dabakhane_mescidi,zindan_golgesi,Güvenli incele,Kale Zindanı çevresindeki anlatıyı güvenli alandan tamamla.,Güvenli alan onayı ve bilgi kartı okunduğunda tamamlanır,150,rozet_gizemli_iz,gorev_018,Hayır
gorev_018,Dabakhane Sessizliği,harput_tam_rota,dabakhane_mescidi,imam_efendi_turbesi,mezarlik_rehberi,Bilgi oku,Dabakhane Mescidi bilgi kartını oku ve İmam Efendi Türbesi yönüne ilerle.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_019,Hayır
gorev_019,İmam Efendi Durağı,harput_tam_rota,imam_efendi_turbesi,mansur_baba_turbesi,mezarlik_rehberi,Bilgi oku,İmam Efendi Türbesi çevresinde sessiz ve saygılı şekilde bilgi kartını oku.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_020,Hayır
gorev_020,Mansur Baba Durağı,harput_tam_rota,mansur_baba_turbesi,musa_kazim_efendi_turbesi,mezarlik_rehberi,Bilgi oku,Mansur Baba Türbesi bilgi kartını oku.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_021,Hayır
gorev_021,Musa Kazım Efendi Durağı,harput_tam_rota,musa_kazim_efendi_turbesi,fatih_ahmet_baba_turbesi,mezarlik_rehberi,Bilgi oku,Musa Kazım Efendi Türbesi bilgi kartını oku.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_022,Hayır
gorev_022,Fatih Ahmet Baba Durağı,harput_tam_rota,fatih_ahmet_baba_turbesi,anguzu_baba_turbesi,mezarlik_rehberi,Bilgi oku,Fatih Ahmet Baba Türbesi çevresinde bilgi kartını oku.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_023,Hayır
gorev_023,Anguzu Baba Durağı,harput_tam_rota,anguzu_baba_turbesi,buzluk_magarasi,mezarlik_rehberi,Bilgi oku,Anguzu Baba Türbesi bilgi kartını oku ve ek rota durumunu kontrol et.,Bilgi kartı okunduğunda tamamlanır,75,,gorev_024,Hayır
gorev_024,Buzluk Mağarası Uyarısı,harput_tam_rota,buzluk_magarasi,olbe_vadisi,doga_rehberi,Güvenlik kontrolü,Buzluk Mağarası çevresinde güvenlik uyarısını oku.,Güvenlik onayı verildiğinde tamamlanır,100,rozet_doga_kasifi,gorev_025,Hayır
gorev_025,Ölbe Vadisi Kontrolü,harput_tam_rota,olbe_vadisi,surp_hagop_kilisesi,doga_rehberi,Güvenlik kontrolü,Ölbe Vadisi için patika ve erişim durumunu kontrol et.,Güvenlik onayı verildiğinde tamamlanır,100,,gorev_026,Hayır
gorev_026,Surp Hagop İzleri,harput_tam_rota,surp_hagop_kilisesi,surp_garabet_kilisesi,kilise_rehberi,Bilgi oku,Surp Hagop Kilisesi çevresinde güvenli mesafeden bilgi kartını oku.,Bilgi kartı okunduğunda tamamlanır,100,,gorev_027,Hayır
gorev_027,Surp Garabet Finali,harput_tam_rota,surp_garabet_kilisesi,,kilise_rehberi,Bilgi oku,Surp Garabet Kilisesi bilgi kartını oku ve tam rotayı tamamla.,Bilgi kartı okunduğunda tam rota tamamlanır,200,rozet_tam_rota,,Hayır
