diyalog_id,karakter_id,mekan_id,gorev_id,diyalog_tipi,metin,sira_no,seslendirme_var_mi,duygu
dlg_001,miras_rehberi,harput_kalesi,gorev_001,Karsilama,"Harput'a hoş geldin. Bu rota seni taşların, yapıların ve anlatıların içinde kısa bir tarih yolculuğuna çıkaracak.",1,Hayır,Sakin
dlg_002,harput_muhafizi,harput_kalesi,gorev_001,Gorev verme,İlk görev kaleden başlar. Ulu Cami yönüne ilerle ve Harput'un mimari hafızasını keşfet.,2,Hayır,Ciddi
dlg_003,ulu_cami_alimi,harput_ulu_cami,gorev_002,Karsilama,Ulu Cami'ye ulaştın. Bu nokta Harput'un tarihî ve mimari hafızasında önemli bir duraktır.,1,Hayır,Bilge
dlg_004,ulu_cami_alimi,harput_ulu_cami,gorev_002,Bilgi,Minareyi ve yapının çevresini incele. Sonraki iz seni Alacalı Cami'ye götürecek.,2,Hayır,Öğretici
dlg_005,tas_ustasi,alacali_cami,gorev_003,Karsilama,Taşın da hafızası vardır. Burada mimari ayrıntıları gözlemleyeceksin.,1,Hayır,Meraklı
dlg_006,tas_ustasi,alacali_cami,gorev_003,Gorev verme,Çevredeki mimari dokuyu incele ve Arap Baba Türbesi yönüne ilerle.,2,Hayır,Net
dlg_007,arap_baba_anlaticisi,arap_baba_turbesi,gorev_004,Karsilama,Burası Harput anlatılarının dikkat çeken duraklarından biridir. Sessizce oku ve soruyu cevapla.,1,Hayır,Gizemli
dlg_008,arap_baba_anlaticisi,arap_baba_turbesi,gorev_004,Gorev verme,Anlatıyı tamamlamak için bilgi kartını aç ve doğru cevabı seç.,2,Hayır,Gizemli
dlg_009,meryem_ana_rehberi,meryem_ana_kilisesi,gorev_005,Karsilama,Bu durak Harput'un çok katmanlı kültürel mirasını gösterir. Bilgi kartını oku ve ana rotayı tamamla.,1,Hayır,Saygılı
dlg_010,meryem_ana_rehberi,meryem_ana_kilisesi,gorev_005,Basari,Ana rotayı tamamladın. Harput'un farklı dönemlerine ait izleri takip ettin.,2,Hayır,Olumlu
dlg_011,sarahatun_anlaticisi,sarahatun_cami,gorev_006,Karsilama,"Sarahatun Cami, Harput'un tarihî dokusunda önemli bir duraktır. Yapının çevresini gözlemle.",1,Hayır,Resmî
dlg_012,kursunlu_rehberi,kursunlu_cami,gorev_007,Bilgi,"Kurşunlu Cami, geniş rotanın mimari duraklarından biridir. Bilgi kartını oku.",1,Hayır,Sakin
